period,rule,n_months,base_annual_arithmetic_return,strategy_annual_arithmetic_return,annual_return_difference,base_maximum_drawdown,strategy_maximum_drawdown,maximum_drawdown_improvement,base_worst_5pct_expected_shortfall_monthly,strategy_worst_5pct_expected_shortfall_monthly,expected_shortfall_5pct_improvement,downside_capture,upside_capture,mean_exposure,median_exposure,minimum_exposure,turnover_total,period_start,period_end,rolling_20y_drawdown_improvement_share,rolling_20y_expected_shortfall_improvement_share,rolling_20y_windows,moving_block_boot_probability_both_risk_metrics_improve
historical_replication,normal_10bps,480,0.11888404293979442,0.11185147883458316,-0.007032564105211261,-0.8175983465052694,-0.5775132950156818,0.2400850514895876,-0.1277099195957554,-0.08061379777353916,0.04709612182221623,0.7007917628907241,0.8013336967685077,0.8425566801965406,1.0,0.17922905597454172,10.58991015048765,1920-01-01,1959-12-01,1.0,1.0,21,0.9983
historical_replication,stress_25bps,480,0.11888404293979442,0.1114535564788437,-0.007430486460950722,-0.8175983465052694,-0.5784150056477189,0.23918334085755055,-0.1277099195957554,-0.08071585718337664,0.04699406241237876,0.7018711749374054,0.8005591264750325,0.8425566801965406,1.0,0.17922905597454172,10.58991015048765,1920-01-01,1959-12-01,1.0,1.0,21,0.9985
historical_replication,reverse_control_10bps,480,0.11888404293979442,0.09448121608467104,-0.024402826855123377,-0.8175983465052694,-0.815521074552761,0.002077271952508397,-0.1277099195957554,-0.12721324042478419,0.0004966791709712093,0.9449817744457452,0.8820533615696851,0.8814875770953141,0.9937713628644025,0.2961700014388677,14.091071514314585,1920-01-01,1959-12-01,0.9047619047619048,0.6666666666666666,21,0.4038
validation,normal_10bps,480,0.12169037944554563,0.1064912643353062,-0.015199115110239428,-0.3915682861378287,-0.34955358826364846,0.04201469787418022,-0.07510331739800687,-0.0696953780554415,0.0054079393425653655,0.9416377518992076,0.9053948219130353,0.9340304908843649,1.0,0.4843722875015096,7.123927997215028,1960-01-01,1999-12-01,1.0,1.0,21,0.8148
validation,stress_25bps,480,0.12169037944554563,0.10622411703541064,-0.01546626241013499,-0.3915682861378287,-0.3498672270659323,0.04170105907189636,-0.07510331739800687,-0.06972315799924654,0.005380159398760326,0.9425843514868032,0.904630032816697,0.9340304908843649,1.0,0.4843722875015096,7.123927997215028,1960-01-01,1999-12-01,1.0,1.0,21,0.8127
validation,reverse_control_10bps,480,0.12169037944554563,0.10589987385419848,-0.015790505591347148,-0.3915682861378287,-0.3645688024156899,0.026999483722138784,-0.07510331739800687,-0.06589396064302916,0.009209356754977707,0.8157687548334631,0.8454393108423337,0.8029593301759452,0.8509745444742407,0.2795866386080566,18.109332418816166,1960-01-01,1999-12-01,0.9523809523809523,1.0,21,0.9057
lockbox,normal_10bps,282,0.07479218834069129,0.059571998728489436,-0.015220189612201854,-0.49038885962735457,-0.4103482406755774,0.08004061895177716,-0.09501571199279066,-0.0863656965315633,0.008650015461227359,0.901112474970255,0.8634526574680305,0.9053418439115369,1.0,0.3962998226067534,5.3385387519070076,2000-01-01,2023-06-01,1.0,1.0,4,0.9214
lockbox,stress_25bps,282,0.07479218834069129,0.059231240935814514,-0.015560947404876777,-0.49038885962735457,-0.4108588445570528,0.07953001507030177,-0.09501571199279066,-0.08639381695853018,0.008621895034260474,0.9021014458602848,0.8624454471935323,0.9053418439115369,1.0,0.3962998226067534,5.3385387519070076,2000-01-01,2023-06-01,1.0,1.0,4,0.9139
lockbox,reverse_control_10bps,282,0.07479218834069129,0.0611819647036102,-0.013610223637081087,-0.49038885962735457,-0.4784726772639136,0.011916182363440941,-0.09501571199279066,-0.08430316440035474,0.010712547592435923,0.8423973514182694,0.8336238469245112,0.7985089349140687,0.8836416700268468,0.2648322817767222,10.382521658472438,2000-01-01,2023-06-01,1.0,1.0,4,0.7502
