period,series,hurdle_monthly,n_months,mean_monthly,annual_arithmetic_return,annual_volatility,annual_sharpe,max_drawdown,hac_se_mean,hac_t_above_hurdle,bonferroni_adjusted_lower_bound_above_hurdle,rolling36_mean_above_hurdle_share,positive_calendar_year_share_above_hurdle,leave_one_year_out_positive_share_above_hurdle,reverse_sign_adjusted_lower_bound_above_hurdle,reverse_sign_pass,moving_block_boot_probability_mean_above_hurdle
post_publication_lockbox,TSMOM,0.0,89,0.00354228057615203,0.042507366913824354,0.13749431521387698,0.3091572684128993,-0.2553645834461682,0.00408149916555481,0.8678871249188452,-0.005952706330535867,0.7777777777777778,0.625,1.0,-0.013037267482839926,False,
post_publication_lockbox,TSMOM,0.001,89,0.00354228057615203,0.042507366913824354,0.13749431521387698,0.3091572684128993,-0.2553645834461682,0.00408149916555481,0.6228791120692169,-0.006952706330535867,0.7592592592592593,0.625,1.0,-0.014037267482839927,False,0.74295
post_publication_lockbox,TSMOM,0.0025,89,0.00354228057615203,0.042507366913824354,0.13749431521387698,0.3091572684128993,-0.2553645834461682,0.00408149916555481,0.2553670927947745,-0.008452706330535867,0.6296296296296297,0.5,0.75,-0.015537267482839926,False,
post_publication_lockbox,TSMOM^CM,0.0,89,0.004548016001647145,0.05457619201976574,0.16125332223281338,0.338450031689704,-0.21872595470775513,0.004547103365720602,1.0002007070992545,-0.006030128246240929,0.8148148148148148,0.625,1.0,-0.015126160249535218,False,
post_publication_lockbox,TSMOM^CM,0.001,89,0.004548016001647145,0.05457619201976574,0.16125332223281338,0.338450031689704,-0.21872595470775513,0.004547103365720602,0.7802804810628874,-0.007030128246240929,0.7777777777777778,0.625,1.0,-0.01612616024953522,False,0.8137
post_publication_lockbox,TSMOM^CM,0.0025,89,0.004548016001647145,0.05457619201976574,0.16125332223281338,0.338450031689704,-0.21872595470775513,0.004547103365720602,0.45040014200833683,-0.008530128246240928,0.7592592592592593,0.625,0.875,-0.017626160249535217,False,
post_publication_lockbox,TSMOM^EQ,0.0,89,-0.0031776996273919804,-0.03813239552870376,0.29274526128943057,-0.13025794289801715,-0.7385821092525165,0.00973209388756129,-0.3265175679668933,-0.02581793555268605,0.2962962962962963,0.5,0.25,-0.019462536297902087,False,
post_publication_lockbox,TSMOM^EQ,0.001,89,-0.0031776996273919804,-0.03813239552870376,0.29274526128943057,-0.13025794289801715,-0.7385821092525165,0.00973209388756129,-0.4292703785699756,-0.02681793555268605,0.2777777777777778,0.5,0.25,-0.02046253629790209,False,0.35335
post_publication_lockbox,TSMOM^EQ,0.0025,89,-0.0031776996273919804,-0.03813239552870376,0.29274526128943057,-0.13025794289801715,-0.7385821092525165,0.00973209388756129,-0.5833995944745989,-0.02831793555268605,0.2222222222222222,0.5,0.125,-0.021962536297902086,False,
post_publication_lockbox,TSMOM^FI,0.0,89,0.008834984264030288,0.10601981116836345,0.3281411168440154,0.32309212630235795,-0.5610980681640082,0.011255582165246934,0.7849424520492102,-0.01734941537718392,0.7777777777777778,0.5,0.875,-0.03501938390524449,False,
