Name,date,month,fwd_max_ret_63,fwd_min_ret_63,fwd_ret_63,lead_30,target_abs_up,target_abs_down,target_rel_up
A,2013-02-28,2013-02,0.12704918032786883,-0.02314368370298925,0.11017357762777236,,0,0,0
A,2013-03-28,2013-03,0.1138908744341196,-0.03454848701453406,0.026447462473195182,,0,0,0
A,2013-04-30,2013-04,0.12934362934362942,-0.003137065637065506,0.08228764478764483,,0,0,0
A,2013-05-31,2013-05,0.05544554455445527,-0.06908690869086909,0.029702970297029507,,0,0,0
A,2013-06-28,2013-06,0.21959775491113187,0.007717492984097518,0.20743685687558489,,0,0,0
A,2013-07-31,2013-07,0.18466353677621306,0.025039123630673066,0.15582383188017013,,0,0,0
A,2013-08-30,2013-08,0.17774442538593482,0.0062178387650084765,0.1485849056603774,,0,0,0
A,2013-09-30,2013-09,0.1295609756097562,-0.025365853658536497,0.11843902439024401,,0,0,0
A,2013-10-31,2013-10,0.20035460992907805,-0.013987391646966163,0.10618597320724987,,0,0,0
A,2013-11-29,2013-11,0.13739033040881088,-0.011946985252940134,0.07858876236699652,,0,0,0
A,2013-12-31,2013-12,0.06539604826018541,-0.043713936002797715,-0.009092498688581863,,0,0,0
A,2014-01-31,2014-01,0.03319002579535679,-0.09458297506448843,-0.062080825451418686,,0,0,0
A,2014-02-28,2014-02,0.032320393465659736,-0.07518004567012126,0.0001756543123132559,,0,0,0
A,2014-03-31,2014-03,0.060085836909871126,-0.05847639484978551,0.027181688125894166,,0,0,0
A,2014-04-30,2014-04,0.09696521095484822,0.004996299037749896,0.050703182827535276,,0,0,0
A,2014-05-30,2014-05,0.04109589041095907,-0.04566210045662089,0.0036880927291886856,,0,0,0
A,2014-06-30,2014-06,0.025243732590529255,-0.053969359331476174,-0.005048746518105829,,0,0,0
A,2014-07-31,2014-07,0.049919771795328804,-0.07808878587983603,-0.02834729898377608,,0,0,0
A,2014-08-29,2014-08,0.03026592022393282,-0.29793561931420565,-0.25227431770468856,,0,1,0
A,2014-09-30,2014-09,-0.0012285012285012664,-0.32485082485082484,-0.273955773955774,,0,1,0
A,2014-10-31,2014-10,-0.22684515195369026,-0.31675108538350216,-0.2832850940665702,,0,1,0
A,2014-11-28,2014-11,-0.0009358914365933391,-0.11628451099672432,-0.011230697239120402,,0,0,0
A,2014-12-31,2014-12,0.042989741084514144,-0.07743038593063001,0.027112848070346862,,0,0,0
A,2015-01-30,2015-01,0.15303150648662944,0.024357956049774865,0.10749271908922409,,0,0,0
A,2015-02-27,2015-02,0.03174603174603163,-0.03743188817815679,-0.024164889836531755,,0,0,0
A,2015-03-31,2015-03,0.048134777376654725,-0.07148014440433215,-0.07148014440433215,,0,0,0
A,2015-04-30,2015-04,0.030456852791878264,-0.0674401740391588,-0.009668842156151713,,0,0,0
A,2015-05-29,2015-05,-0.0019422189851905358,-0.16581694586064577,-0.11046370478271417,,0,0,0
A,2015-06-30,2015-06,0.06272680145152942,-0.13504406428201143,-0.12545360290305851,,0,0,0
A,2015-07-31,2015-07,0.0012210012210012167,-0.18510378510378522,-0.0793650793650793,,0,0,0
A,2015-08-31,2015-08,0.15587992288625707,-0.08096942990911604,0.15174882952354718,,0,0,0
A,2015-09-30,2015-09,0.2339062044858724,-0.01718613457617235,0.22837168657151197,,0,0,0
A,2015-10-30,2015-10,0.12182203389830515,-0.04369703389830504,-0.018273305084745672,,0,0,0
A,2015-11-30,2015-11,0.012912482065997155,-0.1678622668579628,-0.06647537063605935,,0,0,0
A,2015-12-31,2015-12,-0.025831140875388736,-0.16766323845969877,-0.04305190145898119,,0,0,0
A,2016-01-29,2016-01,0.11367861885790176,-0.07569721115537853,0.08685258964143427,,0,0,0
A,2016-02-29,2016-02,0.22677376171352082,0.016867469879517927,0.22677376171352082,,0,0,0
A,2016-03-31,2016-03,0.17139272271016304,-0.014805520702634967,0.09811794228356319,,0,0,0
A,2016-04-29,2016-04,0.17570869990224813,-0.009775171065493637,0.17570869990224813,,0,0,0
A,2016-05-31,2016-05,0.055567661799956314,-0.07910220091523212,0.037698845064284114,,0,0,0
A,2016-06-30,2016-06,0.09197475202885474,-0.013751127141569008,0.0462128043282235,,0,0,0
