claim_id,feature,family,causal_role,target,top_fraction,orientation,gross_directionally_positive,globally_adjusted_diagnostic_survivor,discovery_lift_mean,discovery_lift_lb,discovery_precision,discovery_base_rate,discovery_recall,discovery_median_lead_days,discovery_mean_terminal_return,discovery_mean_mfe,discovery_mean_mae,validation_lift_mean,validation_lift_lb,validation_precision,validation_base_rate,validation_recall,validation_median_lead_days,validation_mean_terminal_return,validation_mean_mfe,validation_mean_mae,diagnostic_lockbox_lift_mean,diagnostic_lockbox_lift_lb,diagnostic_lockbox_precision,diagnostic_lockbox_base_rate,diagnostic_lockbox_recall,diagnostic_lockbox_median_lead_days,diagnostic_lockbox_mean_terminal_return,diagnostic_lockbox_mean_mfe,diagnostic_lockbox_mean_mae
sma_spread_21_126:down_21d_20pct:top5,sma_spread_21_126,trend,trend_transition,down_21d_20pct,0.05,1,True,False,0.0464866839214104,-0.0208215508234035,0.0569259962049335,0.0102169052243312,0.2875399361022364,14.0,0.001071193737416,0.0595976233531578,-0.0615780110930489,0.0249246219533067,-0.0299038145943087,0.0361538461538461,0.0112301381864521,0.1666666666666666,10.0,0.0407069211074454,0.0945364139914644,-0.051729585302972,0.0328653463025899,-0.0101590837177224,0.0384905660377358,0.0056252197351459,0.3541666666666667,15.0,-0.0015313023103836,0.061620960639803,-0.0603133592469656
downvol_126:down_21d_20pct:top5,downvol_126,volatility,downside_fragility,down_21d_20pct,0.05,1,True,False,0.0464866839214104,-0.0119850967334149,0.0569440050616893,0.0102169052243312,0.2875399361022364,14.0,0.0063430732576438,0.0695670890649087,-0.0651327696995192,0.0380015450302298,-0.0335456288590506,0.0492307692307692,0.0112301381864521,0.226950354609929,10.0,0.0552007117552875,0.1185151700275369,-0.0603233935748634,0.0290917613969295,0.0026987599438358,0.0347169811320754,0.0056252197351459,0.3194444444444444,14.5,0.0136019506875819,0.0714295032911445,-0.0533471122105547
range_63:down_21d_20pct:top5,range_63,range,realized_range,down_21d_20pct,0.05,1,True,False,0.0719984949450324,-0.0151865794978712,0.0822047244094488,0.0102169052243312,0.4169329073482428,14.0,0.0038964322831697,0.0760772255635381,-0.0752550110304497,0.0295400065686913,-0.0380059769975751,0.0407692307692307,0.0112301381864521,0.1879432624113475,10.0,0.0547731991543523,0.123456558788561,-0.0656005440498388,0.0290917613969295,-0.008265371188816,0.0347169811320754,0.0056252197351459,0.3194444444444444,14.5,0.0116071058700332,0.079606724919033,-0.0628826025529625
residual_mom_252:down_21d_20pct:top5,residual_mom_252,market_relative,idiosyncratic_direction,down_21d_20pct,0.05,-1,True,False,0.0611254888428801,-0.0259581117671422,0.0743099787685774,0.0102169052243312,0.2795527156549521,14.0,-0.0152740299755933,0.0547462193408006,-0.0740898212397847,0.0336425706712554,-0.0340091399133893,0.0448717948717948,0.0112301381864521,0.1985815602836879,8.5,0.0512507232130158,0.1172778797161619,-0.0589504871634237,0.0289659752334075,-0.006203247143549,0.0345911949685534,0.0056252197351459,0.3055555555555556,14.0,0.0133422527801189,0.0737548412386124,-0.056399982283599
residual_mom_63:down_21d_20pct:top5,residual_mom_63,market_relative,idiosyncratic_direction,down_21d_20pct,0.05,-1,True,False,0.0429433768347962,-0.0193113413231615,0.0534124629080118,0.0102169052243312,0.2587859424920127,14.0,0.0037326923184016,0.0611217151938575,-0.0622743953666969,0.0224246219533067,-0.0239685965113596,0.0336538461538461,0.0112301381864521,0.1489361702127659,10.5,0.0422372925546202,0.0961255487231255,-0.0510257057145014,0.0289659752334075,-0.0119868766849955,0.0345911949685534,0.0056252197351459,0.3055555555555556,14.5,-0.00271804119821,0.0610640379743062,-0.0611880171240101
mom_63:down_21d_20pct:top5,mom_63,price_path,direction_state,down_21d_20pct,0.05,-1,True,False,0.0416310408767909,-0.0170587385484333,0.0520936366633696,0.0102169052243312,0.2523961661341853,14.0,0.0033653203739256,0.0595243861139577,-0.0611387045934658,0.0296361604148452,-0.0263743880988166,0.0408653846153846,0.0112301381864521,0.1808510638297872,10.0,0.03670899100196,0.0921370612507265,-0.0532503216452133,0.0281798117113949,-0.0126498579303988,0.0338050314465408,0.0056252197351459,0.2986111111111111,15.0,-0.0012405962176732,0.0599455647585638,-0.0582781222158694
dist_high_252:down_21d_20pct:top5,dist_high_252,breakout,distance_to_supply,down_21d_20pct,0.05,-1,True,False,0.0568732418599368,-0.0209609460844052,0.0677118078719146,0.0102169052243312,0.3242811501597444,14.0,-0.0035462458302963,0.0626681921508288,-0.0690483785504628,0.0320400065686913,-0.0434893287476971,0.0432692307692307,0.0112301381864521,0.1914893617021276,9.0,0.051673828269848,0.1170302056725944,-0.0569127033669632,0.0281798117113949,-0.0080038954627995,0.0338050314465408,0.0056252197351459,0.2986111111111111,14.0,0.0095759338029943,0.0707433142683621,-0.0584385562750519
drawdown_252:down_21d_20pct:top5,drawdown_252,breakout,drawdown_state,down_21d_20pct,0.05,-1,True,False,0.0568732418599368,-0.0209609460844052,0.0677118078719146,0.0102169052243312,0.3242811501597444,14.0,-0.0035462458302963,0.0626681921508288,-0.0690483785504628,0.0320400065686913,-0.0434893287476971,0.0432692307692307,0.0112301381864521,0.1914893617021276,9.0,0.051673828269848,0.1170302056725944,-0.0569127033669632,0.0281798117113949,-0.0080038954627995,0.0338050314465408,0.0056252197351459,0.2986111111111111,14.0,0.0095759338029943,0.0707433142683621,-0.0584385562750519
rel_strength_63:down_21d_20pct:top5,rel_strength_63,market_relative,relative_strength,down_21d_20pct,0.05,-1,True,False,0.0416310408767909,-0.0170587385484333,0.0520936366633696,0.0102169052243312,0.2523961661341853,14.0,0.0033653203739256,0.0595243861139577,-0.0611387045934658,0.0296361604148452,-0.0263743880988166,0.0408653846153846,0.0112301381864521,0.1808510638297872,10.0,0.03670899100196,0.0921370612507265,-0.0532503216452133,0.0281798117113949,-0.0126498579303988,0.0338050314465408,0.0056252197351459,0.2986111111111111,15.0,-0.0012405962176732,0.0599455647585638,-0.0582781222158694
upvolshare21_x_relstrength63:down_21d_20pct:top5,upvolshare21_x_relstrength63,interaction,relative_accumulation_proxy,down_21d_20pct,0.05,-1,True,False,0.0350693610867647,-0.0150249055841591,0.0454695222405271,0.0102169052243312,0.2204472843450479,14.0,0.0040878594704763,0.0586180629745306,-0.0592833807397178,0.026431032209717,-0.0313311655225296,0.0376602564102564,0.0112301381864521,0.1666666666666666,11.0,0.0379300331026353,0.0917468407629097,-0.0525088509307726,0.0281798117113949,-0.0168216305431433,0.0338050314465408,0.0056252197351459,0.2986111111111111,16.0,0.0007986292307951,0.0600419298299481,-0.0565546537756016
mom_84:down_21d_20pct:top5,mom_84,price_path,direction_state,down_21d_20pct,0.05,-1,True,False,0.0478646366773159,-0.0222902833833908,0.0584158415841584,0.0102169052243312,0.2827476038338658,14.0,0.0033498271064074,0.061104423067166,-0.06089668131524,0.0232259040045888,-0.0302546511079235,0.0344551282051282,0.0112301381864521,0.1524822695035461,11.0,0.0467558554460291,0.0977395451375985,-0.0481649158389773,0.0273936481893823,-0.0072881576930504,0.0330188679245283,0.0056252197351459,0.2916666666666667,14.0,-0.0007374679726505,0.0598677746331831,-0.0587411429145773
