series,status,validation_mean_monthly,validation_adjusted_lb_after_10bp,validation_boot_prob_after_10bp,validation_rolling36_positive_share,lockbox_mean_monthly,lockbox_adjusted_lb_after_10bp,lockbox_boot_prob_after_10bp,lockbox_rolling36_positive_share,lockbox_25bp_adjusted_lb,capital_permission,live_decision_weight
TSMOM,NOT_PROMOTED,0.005631067845824905,-0.005538387504301911,0.8514,0.6756756756756757,0.00354228057615203,-0.006952706330535867,0.74295,0.7592592592592593,-0.008452706330535867,BLOCKED,0.0
TSMOM^CM,NOT_PROMOTED,0.0027491906865053893,-0.010362043725291627,0.6558,0.5135135135135135,0.004548016001647145,-0.007030128246240929,0.8137,0.7777777777777778,-0.008530128246240928,BLOCKED,0.0
TSMOM^EQ,NOT_PROMOTED,0.012662869385445918,-0.007300065257241087,0.90165,0.5945945945945946,-0.0031776996273919804,-0.02681793555268605,0.35335,0.2777777777777778,-0.02831793555268605,BLOCKED,0.0
TSMOM^FI,NOT_PROMOTED,0.005820485519779421,-0.01649382248561465,0.68805,0.8648648648648649,0.008834984264030288,-0.01834941537718392,0.7379,0.7592592592592593,-0.019849415377183918,BLOCKED,0.0
TSMOM^FX,NOT_PROMOTED,0.005915768529630774,-0.010911118098709597,0.73695,0.7297297297297297,0.0008370325492850306,-0.01170696584619002,0.48875,0.2962962962962963,-0.013206965846190022,BLOCKED,0.0
