path,size_bytes,sha256,category,python_module,reachable_from_app,reachable_from_run,reachable_from_gcfis_cli,direct_local_importers,changed_vs_previous_zip
gcfis/feeds/fred_feed.py,2121,b05fae65dfcdfac68b68d2bd4b0b934b615a92a9dd01affe7859d54fcd0fd940,engine,gcfis.feeds.fred_feed,False,False,False,1,False
gcfis/feeds/typef_idx.py,4650,6cef63bd7119de009a2e536022432fc3b2b891ee88a5cfd01c96ad5bb77e4d78,engine,gcfis.feeds.typef_idx,True,True,False,3,False
gcfis/market_drivers.py,7910,3b20d0bc16d4a14dc0ec230bd4e7b2fa4b7eedc73479be996754789d1adc434c,engine,gcfis.market_drivers,True,True,True,3,False
gcfis/markets.py,2638,886f6f047e53c86d733f5ae5e4865e83bbefa92510963c6fa4012056886becdd,engine,gcfis.markets,True,True,True,3,False
gcfis/meta/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,engine,gcfis.meta,False,False,False,0,False
gcfis/meta/decision_stack.py,9283,d8b1e8a7fb5004e9a51e12da0fcbcfedbb8b316978173dc83f765a919daf5151,engine,gcfis.meta.decision_stack,True,True,True,1,False
gcfis/meta/final_desk.py,4277,71ddb082b3a8187d564c10142c3980c367098efcab30b0fa23a258fdccb6e2e0,engine,gcfis.meta.final_desk,True,True,True,2,False
gcfis/meta/regime_meta.py,11697,41d90dee83efc68a7d85ebe2c2e2b175ed86599b0f90f6a410306348b4286803,engine,gcfis.meta.regime_meta,True,True,True,1,False
gcfis/orchestrator.py,17330,84d38d49066434a05af18a3078dcf03750da7b5ade8c23f05cbef52ef67792c9,engine,gcfis.orchestrator,True,True,True,3,True
gcfis/run.py,3127,f98ed56a28b72da14cf46dd28268c4ee87cd6cd3bf38271d95cc6a8a1f7f9721,engine,gcfis.run,False,False,True,0,False
gcfis/sizing.py,2742,233b93a48a3988012f3347108edbc2151ddbb5b3fe599222806d358b618a375b,engine,gcfis.sizing,False,False,False,0,False
gcfis/tests/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,engine,gcfis.tests,False,False,False,0,False
gcfis/tests/test_all.py,34805,8d74651579cc93220554d6ed6a5f7cf16712f69122c89d5b9227ef780004c3de,engine,gcfis.tests.test_all,False,False,False,0,False
gem_validation.py,8615,03103d3f89f35fef2097d7dd1c7170e8c5609064d75d2e20f6b91900423c4794,validation,gem_validation,False,False,False,0,False
lineage_audit.py,7014,404005a81bff0cf7b1d3a6c5ca2ab2a6ef617980bedb104f1b29b0c9d76d81a4,validation,lineage_audit,False,False,False,0,False
macro_inputs.py,2701,08e9bdedd916b7faf492928874e1762c4526264cbc47fb3d8d43638645620feb,data,macro_inputs,True,True,False,1,False
macro_ts_test.py,2838,0ef2bc667bf271ae5853f408287938c79ba6e08abc9b5eec1ae45f1af18d5278,validation,macro_ts_test,False,False,False,0,False
metric_grades.json,2864,0fdbd78a6cf5b41df1c6d638bc7bd94e334c065e81ef4e25e436263f6cf22b47,other,,False,False,False,0,False
price_setups.py,2421,05317f400af1d6e54b59eedddc9be79aa7cfeedb017269fabd79f48ab3f54eac,engine,price_setups,True,True,False,1,False
regime_multitf.py,3954,8081fc3153976d5fb51a86ca4f82752120d847c4a40987a2fcd4b419e531755f,engine,regime_multitf,True,True,False,1,False
regional_regime.py,3726,35608a5b28b1ddf62b7c492ea5df78542e7256eee9d07f31133ec9106ab919be,engine,regional_regime,True,True,False,2,False
requirements.txt,199,a3d13fbc938653b23fccbfa87795d89010c56b4bf44dbdc4e561704a4347bc26,docs,,False,False,False,0,False
research/RESEARCH_FINDINGS.md,20865,ae4fcb398e291e51918d7ecb7624143fcdc2251368dc56177fbd53cc8a762061,research,,False,False,False,0,False
research/bt_nobootstrap.parquet,23377,9dae1dbd05c21f99bfb792e25e8bec9f65aaf52cf580f1bca629e2306065dc73,research,,False,False,False,0,False
research/factor_ic.parquet,6145,2d74b2d299711a888d2bb8d040d2feeae55e087afa76e256fe781ded0d8ea369,research,,False,False,False,0,False
research/fetch_sample_data.py,615,79d616f1119121bc965deacb1408f9c7e42817cc950831216d665a549834cc25,research,research.fetch_sample_data,False,False,False,0,False
research/macro_attribution.parquet,181353,257c98959bd4d3c5233e8e922236efd0765fa3a7cb737042d56025e2b5774d67,research,,False,False,False,0,False
research/macro_panel.parquet,70104,3ee5d345976759c93e2f37ad77b7e110a891a05e5d36817204fa239768d5d802,research,,False,False,False,0,False
research/shiller.csv,123698,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,research,,False,False,False,0,False
research/sp500_panel.parquet,13054119,db2a61d7f66d219354cfaad9dff01a5c9d5b01145ae11549cd11555588729420,research,,False,False,False,0,False
research/validated_tickers.parquet,7149,421c44dc2c4b651b4182ea798fb93f46ff9650af65986b7dc79c096635a99336,research,,False,False,False,0,False
research/vix.csv,479132,599b4954606a76bfad2ef3b8f961a65d0b0c3757a490e2bc3391baa601931308,research,,False,False,False,0,False
research_harness.py,8287,b03987e4c1802a70b42bc7041057fe3eda7d04db24f6f3f3f3ba1bd37484249e,research,research_harness,False,False,False,0,False
research_results.json,3946,6a6efaad8b7c34e6d5d04ba6239939342047fac78595e45b62cbfeb9f951d76d,research,,False,False,False,0,False
run.py,14756,7be72e604375ef6d33d11aabd4b7ea7025e2f583aa61953941bd53ef0aa20351,engine,run,True,True,False,2,True
scrapers_local/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data,scrapers_local,False,False,False,0,False
scrapers_local/local_data_scraper.py,5572,7150428e3f2ddeabc4f6b43e5209f1c478fd3d55f341322bd69376e55e4c7287,data,scrapers_local.local_data_scraper,False,False,False,0,False
systemic_ts_test.py,4402,54859f0de7784576e59ce2aea6ccba5b9f28c13ea27c902c67fa5240cfc0f62d,validation,systemic_ts_test,False,False,False,0,False
validate_all.py,1001,3a745defa16f5559c19037d06277aad3a0d917570fc83f1c24bed3e6131b0b46,validation,validate_all,False,False,False,0,False
validate_real.py,5621,43b021097778979d11564fe7917279565ddf44801fbf7f4c18453b4256b03571,validation,validate_real,False,False,False,0,False
validation_plus.py,14625,b28d97d9864a8a045ff01728a77653f45a352764272dc06a00f2fa6e1b14b150,validation,validation_plus,False,False,False,1,False
walkforward_validate.py,11316,6c25b9dbb0466eae63cc64a4240f4a374b6396c241b3f8b88313f79af60b157b,other,walkforward_validate,False,False,False,0,False
warroom/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,engine,warroom,True,True,False,15,False
warroom/attention.py,7794,f35b15f64194104c91c70bbdfda53336c516f9b95829e56e05104d00257c477f,engine,warroom.attention,False,False,False,1,False
warroom/backtest.py,12932,2237f6ff240388242a74a00b71795154b1425624528979cf5f715309dc3190ea,engine,warroom.backtest,False,False,False,1,False
warroom/beta_play.py,9157,76db25b8962b362a5778ec49131c93ba6c5aeeb2f26cd393580a43d3da5aef1d,engine,warroom.beta_play,False,False,False,1,False
warroom/brief_export.py,12935,13009b43b3963608c0c0294333f3f21631ce8b60639f214465ef3963e6aaf408,engine,warroom.brief_export,False,False,False,1,False
warroom/calibrate_lpm.py,2778,927aa1f07b34d3a67946b2b26f958a4d8af2738bd4950ade03addecf6eb2c29d,engine,warroom.calibrate_lpm,False,False,False,0,False
warroom/causal_attribution.py,7380,6e5ec297750776a8fff0e1fc6268c6afff372eb15b1f69be1e3e5dd500b5a6c3,engine,warroom.causal_attribution,False,False,False,0,False
