candidate,gross_pass,hurdle_10bp_pass,hurdle_25bp_pass,validation_alpha,validation_lb,lockbox_alpha,lockbox_lb,live_decision_weight,capital_permission
SMILE_ONLY,True,True,True,0.008848912771509426,0.005088474871690058,0.007416706916193927,0.003049793346474576,0.0,BLOCKED
SMILE_ANN,True,True,False,0.00807450941406607,0.0058420691812343445,0.004799338340463028,0.0024328421963409168,0.0,BLOCKED
SMILE_EXPECTATIONS_DIV,True,True,False,0.005273099514603186,0.0036068533529791387,0.00292804791103053,0.0017501357750469245,0.0,BLOCKED
SMILE_REV,True,True,False,0.0054097212811484155,0.0028657312807947,0.003792289678481479,0.0014383420573624837,0.0,BLOCKED
SMILE_EXPECTATIONS_SIGNED_RISK36,True,True,False,0.00707001538635025,0.0049479571380479145,0.0036316588167439982,0.0014157191790845607,0.0,BLOCKED
SMILE_EXPECTATIONS,True,True,False,0.0060398495396398475,0.004026914070902785,0.003255516373898363,0.001147756709204493,0.0,BLOCKED
SMILE_EXPECTATIONS_INVOL36,True,True,False,0.006290468289054087,0.004237967256995812,0.0030786727892376017,0.0010990043100626555,0.0,BLOCKED
EXPECTATIONS_ONLY,False,False,False,0.0046353179237050585,0.002086515586221092,0.0011749211027505823,-0.002188617223972183,0.0,BLOCKED
