candidate_id,f1,s1,f2,s2,kind,family1,family2
U::dist_low_252::-1,dist_low_252,-1,,,univariate,price_location,
U::dist_low_40::+1,dist_low_40,1,,,univariate,price_location,
U::dist_low_40::-1,dist_low_40,-1,,,univariate,price_location,
U::dist_low_63::+1,dist_low_63,1,,,univariate,price_location,
U::dist_low_63::-1,dist_low_63,-1,,,univariate,price_location,
U::dvol_ratio_10_40::+1,dvol_ratio_10_40,1,,,univariate,liquidity_acceleration,
U::dvol_ratio_10_40::-1,dvol_ratio_10_40,-1,,,univariate,liquidity_acceleration,
U::dvol_ratio_20_63::+1,dvol_ratio_20_63,1,,,univariate,liquidity_acceleration,
U::dvol_ratio_20_63::-1,dvol_ratio_20_63,-1,,,univariate,liquidity_acceleration,
U::dvol_ratio_40_126::+1,dvol_ratio_40_126,1,,,univariate,liquidity_acceleration,
U::dvol_ratio_40_126::-1,dvol_ratio_40_126,-1,,,univariate,liquidity_acceleration,
U::dvol_ratio_5_20::+1,dvol_ratio_5_20,1,,,univariate,liquidity_acceleration,
U::dvol_ratio_5_20::-1,dvol_ratio_5_20,-1,,,univariate,liquidity_acceleration,
U::gap_mean_10::+1,gap_mean_10,1,,,univariate,overnight_information,
U::gap_mean_10::-1,gap_mean_10,-1,,,univariate,overnight_information,
U::gap_mean_20::+1,gap_mean_20,1,,,univariate,overnight_information,
U::gap_mean_20::-1,gap_mean_20,-1,,,univariate,overnight_information,
U::gap_mean_40::+1,gap_mean_40,1,,,univariate,overnight_information,
U::gap_mean_40::-1,gap_mean_40,-1,,,univariate,overnight_information,
U::gap_mean_5::+1,gap_mean_5,1,,,univariate,overnight_information,
U::gap_mean_5::-1,gap_mean_5,-1,,,univariate,overnight_information,
U::gap_mean_63::+1,gap_mean_63,1,,,univariate,overnight_information,
U::gap_mean_63::-1,gap_mean_63,-1,,,univariate,overnight_information,
U::gap_up_frac_40::+1,gap_up_frac_40,1,,,univariate,overnight_information,
U::gap_up_frac_40::-1,gap_up_frac_40,-1,,,univariate,overnight_information,
U::gap_up_frac_63::+1,gap_up_frac_63,1,,,univariate,overnight_information,
U::gap_up_frac_63::-1,gap_up_frac_63,-1,,,univariate,overnight_information,
U::idio_mom_126::+1,idio_mom_126,1,,,univariate,relative_strength,
U::idio_mom_126::-1,idio_mom_126,-1,,,univariate,relative_strength,
U::idio_mom_20::+1,idio_mom_20,1,,,univariate,relative_strength,
U::idio_mom_20::-1,idio_mom_20,-1,,,univariate,relative_strength,
U::idio_mom_40::+1,idio_mom_40,1,,,univariate,relative_strength,
U::idio_mom_40::-1,idio_mom_40,-1,,,univariate,relative_strength,
U::idio_mom_63::+1,idio_mom_63,1,,,univariate,relative_strength,
U::idio_mom_63::-1,idio_mom_63,-1,,,univariate,relative_strength,
U::intraday_mean_10::+1,intraday_mean_10,1,,,univariate,intraday_pressure,
U::intraday_mean_10::-1,intraday_mean_10,-1,,,univariate,intraday_pressure,
U::intraday_mean_20::+1,intraday_mean_20,1,,,univariate,intraday_pressure,
U::intraday_mean_20::-1,intraday_mean_20,-1,,,univariate,intraday_pressure,
U::intraday_mean_40::+1,intraday_mean_40,1,,,univariate,intraday_pressure,
U::intraday_mean_40::-1,intraday_mean_40,-1,,,univariate,intraday_pressure,
U::intraday_mean_5::+1,intraday_mean_5,1,,,univariate,intraday_pressure,
U::intraday_mean_5::-1,intraday_mean_5,-1,,,univariate,intraday_pressure,
U::intraday_mean_63::+1,intraday_mean_63,1,,,univariate,intraday_pressure,
U::intraday_mean_63::-1,intraday_mean_63,-1,,,univariate,intraday_pressure,
U::kurt_10::+1,kurt_10,1,,,univariate,distribution_shape,
U::kurt_10::-1,kurt_10,-1,,,univariate,distribution_shape,
U::kurt_126::+1,kurt_126,1,,,univariate,distribution_shape,
U::kurt_126::-1,kurt_126,-1,,,univariate,distribution_shape,
U::kurt_20::+1,kurt_20,1,,,univariate,distribution_shape,
U::kurt_20::-1,kurt_20,-1,,,univariate,distribution_shape,
U::kurt_40::+1,kurt_40,1,,,univariate,distribution_shape,
U::kurt_40::-1,kurt_40,-1,,,univariate,distribution_shape,
U::kurt_5::+1,kurt_5,1,,,univariate,distribution_shape,
U::kurt_5::-1,kurt_5,-1,,,univariate,distribution_shape,
U::kurt_63::+1,kurt_63,1,,,univariate,distribution_shape,
U::kurt_63::-1,kurt_63,-1,,,univariate,distribution_shape,
U::log_dvol_10::+1,log_dvol_10,1,,,univariate,liquidity_level,
U::log_dvol_10::-1,log_dvol_10,-1,,,univariate,liquidity_level,
U::log_dvol_126::+1,log_dvol_126,1,,,univariate,liquidity_level,
U::log_dvol_126::-1,log_dvol_126,-1,,,univariate,liquidity_level,
U::log_dvol_20::+1,log_dvol_20,1,,,univariate,liquidity_level,
U::log_dvol_20::-1,log_dvol_20,-1,,,univariate,liquidity_level,
U::log_dvol_40::+1,log_dvol_40,1,,,univariate,liquidity_level,
U::log_dvol_40::-1,log_dvol_40,-1,,,univariate,liquidity_level,
U::log_dvol_5::+1,log_dvol_5,1,,,univariate,liquidity_level,
U::log_dvol_5::-1,log_dvol_5,-1,,,univariate,liquidity_level,
U::log_dvol_63::+1,log_dvol_63,1,,,univariate,liquidity_level,
U::log_dvol_63::-1,log_dvol_63,-1,,,univariate,liquidity_level,
U::mom_10::+1,mom_10,1,,,univariate,trend,
U::mom_10::-1,mom_10,-1,,,univariate,trend,
U::mom_126::+1,mom_126,1,,,univariate,trend,
U::mom_126::-1,mom_126,-1,,,univariate,trend,
U::mom_20::+1,mom_20,1,,,univariate,trend,
U::mom_20::-1,mom_20,-1,,,univariate,trend,
U::mom_252::+1,mom_252,1,,,univariate,trend,
U::mom_252::-1,mom_252,-1,,,univariate,trend,
U::mom_40::+1,mom_40,1,,,univariate,trend,
U::mom_40::-1,mom_40,-1,,,univariate,trend,
U::mom_5::+1,mom_5,1,,,univariate,trend,
U::mom_5::-1,mom_5,-1,,,univariate,trend,
U::mom_63::+1,mom_63,1,,,univariate,trend,
U::mom_63::-1,mom_63,-1,,,univariate,trend,
U::positive_frac_126::+1,positive_frac_126,1,,,univariate,trend_quality,
U::positive_frac_126::-1,positive_frac_126,-1,,,univariate,trend_quality,
U::positive_frac_20::+1,positive_frac_20,1,,,univariate,trend_quality,
U::positive_frac_20::-1,positive_frac_20,-1,,,univariate,trend_quality,
U::positive_frac_40::+1,positive_frac_40,1,,,univariate,trend_quality,
U::positive_frac_40::-1,positive_frac_40,-1,,,univariate,trend_quality,
U::positive_frac_63::+1,positive_frac_63,1,,,univariate,trend_quality,
U::positive_frac_63::-1,positive_frac_63,-1,,,univariate,trend_quality,
U::range_pos_126::+1,range_pos_126,1,,,univariate,price_location,
U::range_pos_126::-1,range_pos_126,-1,,,univariate,price_location,
U::range_pos_20::+1,range_pos_20,1,,,univariate,price_location,
U::range_pos_20::-1,range_pos_20,-1,,,univariate,price_location,
U::range_pos_252::+1,range_pos_252,1,,,univariate,price_location,
U::range_pos_252::-1,range_pos_252,-1,,,univariate,price_location,
U::range_pos_40::+1,range_pos_40,1,,,univariate,price_location,
U::range_pos_40::-1,range_pos_40,-1,,,univariate,price_location,
U::range_pos_63::+1,range_pos_63,1,,,univariate,price_location,
U::range_pos_63::-1,range_pos_63,-1,,,univariate,price_location,
U::rel_mom_126::+1,rel_mom_126,1,,,univariate,relative_strength,
U::rel_mom_126::-1,rel_mom_126,-1,,,univariate,relative_strength,
U::rel_mom_20::+1,rel_mom_20,1,,,univariate,relative_strength,
U::rel_mom_20::-1,rel_mom_20,-1,,,univariate,relative_strength,
U::rel_mom_40::+1,rel_mom_40,1,,,univariate,relative_strength,
U::rel_mom_40::-1,rel_mom_40,-1,,,univariate,relative_strength,
U::rel_mom_63::+1,rel_mom_63,1,,,univariate,relative_strength,
U::rel_mom_63::-1,rel_mom_63,-1,,,univariate,relative_strength,
U::signed_volume_10::+1,signed_volume_10,1,,,univariate,signed_flow_proxy,
U::signed_volume_10::-1,signed_volume_10,-1,,,univariate,signed_flow_proxy,
U::signed_volume_126::+1,signed_volume_126,1,,,univariate,signed_flow_proxy,
U::signed_volume_126::-1,signed_volume_126,-1,,,univariate,signed_flow_proxy,
U::signed_volume_20::+1,signed_volume_20,1,,,univariate,signed_flow_proxy,
U::signed_volume_20::-1,signed_volume_20,-1,,,univariate,signed_flow_proxy,
U::signed_volume_40::+1,signed_volume_40,1,,,univariate,signed_flow_proxy,
U::signed_volume_40::-1,signed_volume_40,-1,,,univariate,signed_flow_proxy,
U::signed_volume_5::+1,signed_volume_5,1,,,univariate,signed_flow_proxy,
U::signed_volume_5::-1,signed_volume_5,-1,,,univariate,signed_flow_proxy,
U::signed_volume_63::+1,signed_volume_63,1,,,univariate,signed_flow_proxy,
U::signed_volume_63::-1,signed_volume_63,-1,,,univariate,signed_flow_proxy,
U::skew_10::+1,skew_10,1,,,univariate,distribution_shape,
U::skew_10::-1,skew_10,-1,,,univariate,distribution_shape,
U::skew_126::+1,skew_126,1,,,univariate,distribution_shape,
U::skew_126::-1,skew_126,-1,,,univariate,distribution_shape,
