candidate_id,n,mean,nw_t,after_100bps,positive_years,early_mean,late_mean,rolling24_positive_share,drop_best_after_25bps,passes_capacity_stress
IO_ShortInterest::+1::Price::-1,60,0.02765503169911018,2.626059058973866,0.01765503169911018,5,0.012142948440544732,0.05092315658695835,1.0,0.023001213294730025,True
IO_ShortInterest::+1::zerotrade1M::+1,60,0.02443069759995888,2.944129604828965,0.014430697599958879,5,0.012486260043657348,0.04234735393441119,1.0,0.019701397775492818,True
IO_ShortInterest::+1::zerotrade6M::+1,60,0.024168233380362628,3.0047498753802495,0.014168233380362627,5,0.013553001607354287,0.040091081039875125,1.0,0.019205574451733327,True
IO_ShortInterest::+1::zerotrade12M::+1,60,0.023812964721709077,2.828500750651515,0.013812964721709077,5,0.01180823787550143,0.04182005499102054,1.0,0.019098741148254054,True
Mom12mOffSeason::+1::XFIN::+1,60,0.02245654406172793,2.5650017502945586,0.01245654406172793,4,0.02508667851028413,0.018511342388893636,1.0,0.018005218417413142,True
Mom12mOffSeason::+1::NetPayoutYield::+1,60,0.02219387674046049,2.4696919720421895,0.012193876740460489,4,0.025554664914681238,0.01715269447912937,1.0,0.017607370229863348,True
ExchSwitch::+1::NetPayoutYield::+1,60,0.017784436559743537,3.0696293077843912,0.007784436559743537,4,0.023270072020411953,0.009555983368740922,1.0,0.01331145107977433,True
FirmAgeMom::+1::XFIN::+1,60,0.017598161921600852,2.4685286936355566,0.007598161921600852,4,0.02251122297630925,0.01022857033953826,1.0,0.012727112459270707,True
FirmAgeMom::+1::NetPayoutYield::+1,60,0.01733549460033341,2.405933860445472,0.007335494600333411,4,0.022979209380706363,0.008869922429774002,1.0,0.012166053247861033,True
RIO_Volatility::+1::roaq::+1,60,0.017041000618661272,2.8684663070538376,0.007041000618661272,4,0.0187641091213022,0.014456337864699867,1.0,0.013128644641178916,True
AssetGrowth::+1::NetPayoutYield::+1,60,0.01683182690342729,2.6484302814061773,0.006831826903427289,4,0.021661243983800375,0.00958770128286767,1.0,0.012722357976977856,True
AccrualsBM::+1::Mom12m::+1,60,0.016310601264609217,2.2803564101877707,0.006310601264609217,4,0.017320551525769057,0.014795675872869446,1.0,0.011860890917753423,True
DelEqu::+1::NetPayoutYield::+1,60,0.016176036472474266,2.455337243087057,0.006176036472474266,4,0.020711086984476955,0.009373460704470222,1.0,0.012119846495020004,True
REV6::+1::XFIN::+1,60,0.01600154881413023,2.385493962905853,0.006001548814130229,4,0.017788318909352795,0.013321393671296394,1.0,0.012131870252780827,True
ExchSwitch::+1::Mom12m::+1,60,0.015970910662338845,3.315225575067755,0.005970910662338845,4,0.016558512369657705,0.015089508101360546,1.0,0.012211258850342238,True
NetPayoutYield::+1::REV6::+1,60,0.015738881492862795,2.3324473167152213,0.005738881492862795,4,0.0182563053137499,0.011962745761532135,1.0,0.011570811041371153,True
NetPayoutYield::+1::STreversal::+1,60,0.01517982833370385,3.8167707746239925,0.00517982833370385,5,0.015425018242063347,0.014812043471164599,1.0,0.011456732723067879,True
FirmAgeMom::+1::cfp::+1,60,0.014601692716460161,2.0142041711488443,0.004601692716460161,4,0.02069543937541967,0.005461072728020894,1.0,0.009716504551273349,True
AgeIPO::+1::XFIN::+1,60,0.014495216637687915,2.2962708433086867,0.004495216637687914,4,0.0049012527777484525,0.028886162427597114,1.0,0.010688507565308604,True
AgeIPO::+1::NetPayoutYield::+1,60,0.01423254931642048,2.2852664101006144,0.0042325493164204805,4,0.005369239182145562,0.027527514517832852,1.0,0.010290659377758814,True
Mom12mOffSeason::+1::STreversal::+1,60,0.01411514409206769,4.478426358347424,0.00411514409206769,5,0.01770787340022347,0.008726050129834012,1.0,0.010018551683792775,True
RIO_Volatility::+1::ShareIss5Y::+1,60,0.01381232337196186,2.8235574293586305,0.00381232337196186,4,0.015204412224661531,0.011724190092912359,1.0,0.009797384345282165,True
ExchSwitch::+1::ShareIss1Y::+1,60,0.0138122796267792,2.8599360499223603,0.0038122796267791997,5,0.020767433781096932,0.0033795483953026084,1.0,0.009500991715703407,True
OrderBacklogChg::+1::RIO_Volatility::+1,60,0.013405139585351255,4.460025003711157,0.003405139585351255,5,0.01134156307087154,0.016500504357070827,1.0,0.009734867672534274,True
ExchSwitch::+1::RIO_Volatility::+1,60,0.013382699404850434,2.678576331096132,0.003382699404850434,4,0.0218851968778201,0.000628953195395944,1.0,0.008948605830377737,True
Mom12m::+1::STreversal::+1,60,0.013366302436299153,2.7193476071838347,0.003366302436299153,4,0.0087134585913091,0.02034556820378423,0.972972972972973,0.009679156854410138,True
MomOffSeason06YrPlus::+1::XFIN::+1,60,0.013238821456744005,2.4961021151638234,0.003238821456744005,4,0.015955774835016215,0.00916339138933569,1.0,0.009640228896282677,True
ExchSwitch::+1::NetEquityFinance::+1,60,0.013170720390434616,2.576896777068447,0.0031707203904346153,4,0.016837529036087817,0.007670507421954818,1.0,0.008896870593907575,True
AgeIPO::+1::Mom12mOffSeason::+1,60,0.013167865074784324,3.3146365339527244,0.0031678650747843234,4,0.007652094340305691,0.021441521176502266,1.0,0.009150887255755937,True
IndRetBig::+1::XFIN::+1,60,0.013019413285922406,2.3449291769888303,0.003019413285922406,4,0.011433674444190425,0.015398021548520378,1.0,0.009407410298074468,True
IntanEP::+1::Mom12mOffSeason::+1,60,0.01298862104276923,2.69160465578811,0.0029886210427692295,4,0.01857232329396036,0.004613067665982541,1.0,0.009072412311682997,True
MomOffSeason06YrPlus::+1::NetPayoutYield::+1,60,0.01297615413547657,2.2998841237012435,0.002976154135476569,4,0.016423761239413328,0.0078047434795714314,1.0,0.009317338448341367,True
NetPayoutYield::+1::TotalAccruals::+1,60,0.012787198615509117,2.8870152330429573,0.002787198615509117,4,0.01568198845763321,0.008445013852322969,1.0,0.009143450121782361,True
IndRetBig::+1::NetPayoutYield::+1,60,0.012756745964654969,2.2670464045594456,0.0027567459646549684,4,0.011901660848587537,0.014039373638756117,1.0,0.008947382394311776,True
ExchSwitch::+1::ShareIss5Y::+1,60,0.012739936104501854,3.4906259170756475,0.0027399361045018535,5,0.016587549631144227,0.006968515814538297,1.0,0.008546337746833894,True
NetPayoutYield::+1::fgr5yrLag::-1,60,0.012715395309948476,2.4744248600572454,0.0027153953099484755,4,0.010187106884188482,0.016507827948588464,1.0,0.008817605522670982,True
AgeIPO::+1::roaq::+1,60,0.0124167261078782,2.180962980983443,0.0024167261078782004,4,0.0022464136895185057,0.027672194735417738,1.0,0.00862313142405322,True
RIO_Volatility::+1::ShortInterest::+1,60,0.012347592612500274,3.27979301253047,0.0023475926125002735,5,0.015648863331436693,0.007395686534095644,1.0,0.008732428708041662,True
FirmAgeMom::+1::ShareIss5Y::+1,60,0.012290994145091733,2.257356658889963,0.002290994145091733,5,0.016296686991438637,0.0062824548755713765,1.0,0.007565061591298786,True
ChEQ::+1::ShareIss5Y::+1,60,0.012276231253503916,3.075440803089374,0.002276231253503916,4,0.014819823060344097,0.008460843543243635,1.0,0.00850298539091347,True
AssetGrowth::+1::NetEquityFinance::+1,60,0.012218110734118366,2.097002922025488,0.0022181107341183656,4,0.015228700999476229,0.00770222533608157,1.0,0.008196732407779645,True
AgeIPO::+1::Mom6m::+1,60,0.012046916874771016,2.317579317294183,0.0020469168747710154,4,0.003370824128274399,0.02506105599451593,1.0,0.0076443045571463735,True
MomOffSeason16YrPlus::+1::NetPayoutYield::+1,60,0.01200030764194336,2.3985740502101804,0.0020003076419433594,4,0.011951901121589037,0.012072917422474851,1.0,0.008072358162536875,True
AssetGrowth::+1::ShareIss5Y::+1,60,0.011787326448185607,2.8296970796696286,0.0017873264481856072,4,0.014978721594532646,0.007000233728665047,1.0,0.00812136632041561,True
REV6::+1::RIO_Volatility::+1,60,0.011337144337969693,3.0878291595369336,0.0013371443379696923,5,0.01687143017115805,0.003035715588187158,1.0,0.007694774228629747,True
NetPayoutYield::+1::tang::+1,60,0.01120865535644862,2.886246244601119,0.00120865535644862,4,0.008851721447137119,0.014744056220415871,1.0,0.007580997983217572,True
RIO_MB::+1::XFIN::+1,60,0.011188081603367438,2.1279404063142917,0.0011880816033674382,4,0.012216667687332091,0.009645202477420463,1.0,0.007416289549236756,True
DelEqu::+1::ShareIss5Y::+1,60,0.011131536017232577,2.6996054853525573,0.0011315360172325772,4,0.01402856459520923,0.0067859931502675976,1.0,0.007421499435468893,True
SurpriseRD::+1::XFIN::+1,60,0.011083743655696882,2.5349911313141473,0.001083743655696882,4,0.010425035189619007,0.012071806354813691,1.0,0.007737838399294292,True
NetPayoutYield::+1::RIO_MB::+1,60,0.010925414282100004,2.016987145045291,0.0009254142821000042,4,0.012684654091729204,0.008286554567656203,1.0,0.006961040725274896,True
FR::-1::ShareIss5Y::+1,60,0.010867099037792092,3.0337132037396977,0.000867099037792092,5,0.011053400145235561,0.010587647376626888,1.0,0.007415098630818547,True
NetPayoutYield::+1::SurpriseRD::+1,60,0.010821076334429445,2.367936018947512,0.0008210763344294447,4,0.01089302159401612,0.010713158445049433,1.0,0.007205902713620368,True
InvGrowth::+1::RIO_Volatility::+1,60,0.010618502348807717,2.9116541749114164,0.000618502348807717,4,0.015945030446063827,0.0026287102029235545,1.0,0.006979478505018505,True
BPEBM::+1::XFIN::+1,60,0.010602128957262447,2.331747839568539,0.0006021289572624468,4,0.009019865267780987,0.01297552449148464,1.0,0.007248995063241569,True
NetEquityFinance::+1::STreversal::+1,60,0.010566112164394924,2.992720705081828,0.0005661121643949236,4,0.008992475257739205,0.012926567524378499,1.0,0.006957530223839048,True
OrderBacklog::-1::RIO_Volatility::+1,60,0.01056389588632523,2.7528981965856216,0.0005638958863252302,5,0.010746900922907492,0.010289388331451838,1.0,0.007073206682754414,True
GP::+1::RIO_Disp::+1,60,0.010267901794549148,4.162785513402788,0.0002679017945491479,5,0.010130959107188186,0.010473315825590593,1.0,0.006659550982077151,True
AgeIPO::+1::ShareIss1Y::+1,60,0.010260392383456138,2.023753608712057,0.0002603923834561383,4,0.0028666009428305384,0.02135107954439454,1.0,0.0064778408651262505,True
NOA::+1::XFIN::+1,60,0.010163751721986986,2.9645525851299883,0.000163751721986986,4,0.011823211154542029,0.007674562573154416,1.0,0.00675326469709157,True
ChTax::+1::RIO_Volatility::+1,60,0.010150604631902338,3.601228926776546,0.0001506046319023381,5,0.01283492352193672,0.006124126296850767,1.0,0.006193986148149849,True
DebtIssuance::+1::NetPayoutYield::+1,60,0.010039800907157575,2.3397991158176494,3.980090715757431e-05,4,0.010149169582129084,0.009875747894700316,1.0,0.006566871532525394,True
