claim_id,target,candidate_id,promoted,validation_diff_mean,validation_simultaneous_lb,lockbox_diff_mean,lockbox_simultaneous_lb,live_decision_weight,capital_permission
DRAWDOWN_63_20|S:vol_63:+1,DRAWDOWN_63_20,S:vol_63:+1,False,0.034861111111111114,-0.08152777777777781,0.0942857142857143,-0.028642857142857372,0.0,BLOCKED
DRAWDOWN_63_20|A:atr_63:+1&relret_126:-1,DRAWDOWN_63_20,A:atr_63:+1&relret_126:-1,False,0.062361111111111124,-0.05402777777777779,0.09428571428571429,-0.028642857142857386,0.0,BLOCKED
DRAWDOWN_63_20|A:atr_63:+1&ret_126:-1,DRAWDOWN_63_20,A:atr_63:+1&ret_126:-1,False,0.05166666666666667,-0.06472222222222224,0.09428571428571429,-0.028642857142857386,0.0,BLOCKED
DRAWDOWN_63_20|A:dist_high_126:-1&relret_63:-1,DRAWDOWN_63_20,A:dist_high_126:-1&relret_63:-1,False,0.03180555555555556,-0.08458333333333336,0.09428571428571429,-0.028642857142857386,0.0,BLOCKED
DRAWDOWN_63_20|A:atr_14:+1&dist_high_252:-1,DRAWDOWN_63_20,A:atr_14:+1&dist_high_252:-1,False,0.05555555555555556,-0.06083333333333336,0.09428571428571428,-0.0286428571428574,0.0,BLOCKED
DRAWDOWN_63_20|A:atr_14:+1&vol_63:+1,DRAWDOWN_63_20,A:atr_14:+1&vol_63:+1,False,0.05194444444444445,-0.06444444444444447,0.09428571428571428,-0.0286428571428574,0.0,BLOCKED
DRAWDOWN_63_20|A:dist_high_252:-1&vol_63:+1,DRAWDOWN_63_20,A:dist_high_252:-1&vol_63:+1,False,0.0388888888888889,-0.07750000000000001,0.09428571428571428,-0.0286428571428574,0.0,BLOCKED
DRAWDOWN_63_20|A:atr_14:+1&dist_high_63:-1,DRAWDOWN_63_20,A:atr_14:+1&dist_high_63:-1,False,0.05180555555555555,-0.06458333333333337,0.09142857142857144,-0.031500000000000236,0.0,BLOCKED
DRAWDOWN_63_20|A:dist_high_126:-1&dist_high_252:-1,DRAWDOWN_63_20,A:dist_high_126:-1&dist_high_252:-1,False,0.04194444444444445,-0.07444444444444447,0.09142857142857143,-0.03150000000000025,0.0,BLOCKED
DRAWDOWN_63_20|A:accel_21_63:+1&dist_high_63:-1,DRAWDOWN_63_20,A:accel_21_63:+1&dist_high_63:-1,False,0.021666666666666667,-0.09472222222222225,0.09142857142857143,-0.03150000000000025,0.0,BLOCKED
DRAWDOWN_63_20|S:atr_14:+1,DRAWDOWN_63_20,S:atr_14:+1,False,0.06874999999999999,-0.047638888888888925,0.09142857142857141,-0.031500000000000264,0.0,BLOCKED
DRAWDOWN_63_20|A:ret_252:-1&vol_63:+1,DRAWDOWN_63_20,A:ret_252:-1&vol_63:+1,False,0.04916666666666667,-0.06722222222222224,0.09142857142857141,-0.031500000000000264,0.0,BLOCKED
