dataset,claim_id,candidate,target,promoted_in_control,validation_lb,lockbox_lb,market_evidence_status,live_decision_weight,capital_permission
PLANTED_SIGNAL_CONTROL,future_down_event:oi_x_signed_flow,oi_x_signed_flow,future_down_event,True,0.002274771040020676,0.003294122867550625,SYNTHETIC_ONLY,0.0,BLOCKED
PLANTED_SIGNAL_CONTROL,future_down_event:oi_x_funding,oi_x_funding,future_down_event,False,-0.0485585474334948,-0.056186008754490445,SYNTHETIC_ONLY,0.0,BLOCKED
PLANTED_SIGNAL_CONTROL,future_down_event:crowding_composite,crowding_composite,future_down_event,False,-0.02824003264872166,-0.02824762371441628,SYNTHETIC_ONLY,0.0,BLOCKED
PLANTED_SIGNAL_CONTROL,future_down_event:liquidation_sum,liquidation_sum,future_down_event,False,-0.012539754510016678,-0.016210226101704174,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:price_momentum_baseline,price_momentum_baseline,future_up_event,False,-0.029406403225899706,-0.032542469756271904,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:origin_revision,origin_revision,future_up_event,False,-0.03800273852071609,-0.024633188454499175,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:vulnerability_only,vulnerability_only,future_up_event,False,-0.035987618492050344,-0.038483179181428386,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:signed_taker_flow,signed_taker_flow,future_up_event,False,-0.02975955687146744,-0.028168684396390788,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:open_interest_change,open_interest_change,future_up_event,False,-0.034612976098505895,-0.023768813706060335,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:funding_crowding,funding_crowding,future_up_event,False,-0.03805044096651643,-0.03267851109787399,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:basis_crowding,basis_crowding,future_up_event,False,-0.03590049564724175,-0.03185148184065205,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:realized_short_liquidation,realized_short_liquidation,future_up_event,False,-0.00923935662394962,-0.009980196184106047,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:realized_long_liquidation_inverse,realized_long_liquidation_inverse,future_up_event,False,-0.009057061659488828,-0.009404461127055987,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:origin_x_vulnerability,origin_x_vulnerability,future_up_event,False,-0.03511595701712607,-0.027974862990436326,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:origin_plus_signed_flow,origin_plus_signed_flow,future_up_event,False,-0.02248488403376705,-0.033541138391225106,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:origin_vulnerability_signed,origin_vulnerability_signed,future_up_event,False,-0.021374182826252884,-0.030751689142009046,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:oi_x_signed_flow,oi_x_signed_flow,future_up_event,False,-0.030110582443129114,-0.02892940621764449,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:oi_x_funding,oi_x_funding,future_up_event,False,-0.027621573747391888,-0.033086902232136464,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:crowding_composite,crowding_composite,future_up_event,False,-0.037794720765197055,-0.03540308997201452,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_up_event:liquidation_sum,liquidation_sum,future_up_event,False,-0.009057061659488828,-0.009421060602888238,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:price_momentum_baseline,price_momentum_baseline,future_down_event,False,-0.03445671176527536,-0.03647618399353782,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:origin_revision,origin_revision,future_down_event,False,-0.0333425472601598,-0.031002808552922197,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:vulnerability_only,vulnerability_only,future_down_event,False,-0.03079159880593197,-0.02955464465303392,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:signed_taker_flow,signed_taker_flow,future_down_event,False,-0.028181230912844753,-0.0326975785608485,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:open_interest_change,open_interest_change,future_down_event,False,-0.029587638461291685,-0.028456338738800064,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:funding_crowding,funding_crowding,future_down_event,False,-0.03880495052191671,-0.03128064046505674,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:basis_crowding,basis_crowding,future_down_event,False,-0.03236805644608477,-0.034853165312731596,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:realized_short_liquidation,realized_short_liquidation,future_down_event,False,-0.01278145267049184,-0.011705183048877594,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:realized_long_liquidation_inverse,realized_long_liquidation_inverse,future_down_event,False,-0.010473299119638662,-0.010292355647945155,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:origin_x_vulnerability,origin_x_vulnerability,future_down_event,False,-0.033815026118898014,-0.030115058302651015,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:origin_plus_signed_flow,origin_plus_signed_flow,future_down_event,False,-0.03219315458456354,-0.02652634031883896,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:origin_vulnerability_signed,origin_vulnerability_signed,future_down_event,False,-0.028354258898348195,-0.024706267100754926,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:oi_x_signed_flow,oi_x_signed_flow,future_down_event,False,-0.0423425491809883,-0.034863344933551074,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:oi_x_funding,oi_x_funding,future_down_event,False,-0.035460319074273466,-0.03327723910145101,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:crowding_composite,crowding_composite,future_down_event,False,-0.031539603661236475,-0.027911916245361552,SYNTHETIC_ONLY,0.0,BLOCKED
NULL_CONTROL,future_down_event:liquidation_sum,liquidation_sum,future_down_event,False,-0.012784619975598632,-0.011705183048877594,SYNTHETIC_ONLY,0.0,BLOCKED
