spec,engine_id,role,horizon_m,status
vix_max,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,24,CONTEXT_ONLY
vix_expanding_pct,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,24,CONTEXT_ONLY
vix_chg_3m,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,24,CONTEXT_ONLY
negative_control_noise,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,24,CONTEXT_ONLY
negative_control_sine,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,24,CONTEXT_ONLY
inflation_pressure_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,HISTORICALLY_SUPPORTED_US_ONLY
inflation_rate_shock_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,HISTORICALLY_SUPPORTED_US_ONLY
valuation_inflation_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONTEXT_ONLY
valuation_rate_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONTEXT_ONLY
valuation_vix_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONTEXT_ONLY
inflation_vix_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,HISTORICALLY_SUPPORTED_US_ONLY
rate_vix_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONTEXT_ONLY
inflation_pressure_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,12,HISTORICALLY_SUPPORTED_US_ONLY
inflation_rate_shock_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,12,HISTORICALLY_SUPPORTED_US_ONLY
valuation_inflation_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,12,CONTEXT_ONLY
valuation_rate_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,12,CONTEXT_ONLY
valuation_vix_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,12,CONTEXT_ONLY
inflation_vix_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,12,CONTEXT_ONLY
rate_vix_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,12,CONDITIONAL_US_ONLY
inflation_pressure_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,24,CONTEXT_ONLY
inflation_rate_shock_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,24,CONTEXT_ONLY
valuation_inflation_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,24,CONTEXT_ONLY
valuation_rate_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,24,CONTEXT_ONLY
valuation_vix_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,24,CONTEXT_ONLY
inflation_vix_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,24,HISTORICALLY_SUPPORTED_US_ONLY
rate_vix_eq,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,24,CONTEXT_ONLY
