experiment_id,kind,spec,horizon_m,target,data_origin,dataset_hash,oos_method,oos_ic,nonoverlap_ic,nonoverlap_p,block_perm_p,fdr_q,status
EXP_U_0017,UNIVARIATE,vix_expanding_pct,6,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0180374756657965,0.0192307692307692,0.92730247679693,0.8935108153078203,0.9326350380071646,CONTEXT_ONLY
EXP_U_0018,UNIVARIATE,vix_chg_3m,6,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,-0.0162625846665139,0.0638949080318137,0.7515310488197963,0.8535773710482529,0.9239307314004672,CONTEXT_ONLY
EXP_U_0019,UNIVARIATE,negative_control_noise,6,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,-0.005024403310277,0.154386968060701,0.0895265091582319,0.8985024958402662,0.1985252338852508,CONTEXT_ONLY
EXP_U_0020,UNIVARIATE,negative_control_sine,6,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,-0.0027749676699251,0.1499412527219658,0.0992626169426254,0.8951747088186356,0.1985252338852508,CONTEXT_ONLY
EXP_U_0021,UNIVARIATE,cape_level,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0512550247907693,0.0514332939089745,0.7039739239137551,0.6605657237936772,0.938325267833138,CONTEXT_ONLY
EXP_U_0022,UNIVARIATE,cape_expanding_pct,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0043492056979025,0.0106782106782106,0.9383252678331382,0.966722129783694,0.938325267833138,CONTEXT_ONLY
EXP_U_0023,UNIVARIATE,rate10_level,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0437424803993335,0.0158912730219205,0.9032516346132812,0.6955074875207987,0.938325267833138,CONTEXT_ONLY
EXP_U_0024,UNIVARIATE,rate10_chg_6m,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.1320862617679243,0.234279972827486,0.0691690280787872,0.0998336106489184,0.2766761123151489,CONDITIONAL_US_ONLY
EXP_U_0025,UNIVARIATE,rate10_chg_12m,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0794540945072859,0.078160737192674,0.5493442868786793,0.3993344425956738,0.9241839795692836,CONTEXT_ONLY
EXP_U_0026,UNIVARIATE,inflation_yoy,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.2612788966770237,0.2800105764145954,0.0288423010816375,0.0083194675540765,0.1922820072109167,CONDITIONAL_US_ONLY
EXP_U_0027,UNIVARIATE,inflation_accel_6m,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.201093787621361,0.321523003701745,0.0115138061247804,0.0183028286189683,0.1922820072109167,CONDITIONAL_US_ONLY
