claim_id,feature,family,target,orientation,diagnostic_survivor,discovery_n,discovery_beta,discovery_hac_t,discovery_bonferroni_lb,discovery_spearman,validation_n,validation_beta,validation_hac_t,validation_bonferroni_lb,validation_spearman,diagnostic_holdout_n,diagnostic_holdout_beta,diagnostic_holdout_hac_t,diagnostic_holdout_bonferroni_lb,diagnostic_holdout_spearman
cape_z_24:future_6m_realized_vol,cape_z_24,valuation,future_6m_realized_vol,-1,False,264,0.37341376605433363,2.683337354920447,-0.13082648080350712,0.3734137660543336,156,0.1523668031167517,0.7426170314306222,-0.5910765948941662,0.15236680311675183,183,0.504495860518669,5.001951413492209,0.1390352316971925,0.504495860518669
oil_mom_12:future_12m_return,oil_mom_12,cross_asset,future_12m_return,-1,False,96,0.17532555615843728,0.6795930358842199,-0.7594745743167599,0.1753255561584372,156,0.10873860062271812,0.5419417164149721,-0.618293549299802,0.10873860062271806,177,0.4433419608386281,2.247322043466933,-0.2714768702480811,0.4433419608386282
inflation_oil_gap:future_12m_return,inflation_oil_gap,interaction_or_placebo,future_12m_return,1,False,96,0.18574335322843177,0.7141752501995398,-0.7566472454251174,0.18574335322843205,156,0.10982282562311321,0.5495052482174035,-0.6143516736550622,0.10982282562311318,177,0.4408489292082894,2.2258666204899273,-0.2768017701422523,0.44084892920828955
cpi_yoy_change_6:future_6m_return,cpi_yoy_change_6,macro,future_6m_return,-1,False,264,0.14047247103817312,0.9458184069330922,-0.39768071936621724,0.14047247103817334,156,-0.02351472238466279,-0.17197679273779223,-0.518956322204324,-0.023514722384662807,183,0.43760622841164526,3.3660825542568222,-0.03345915458534615,0.4376062284116451
spx_mom_24:future_12m_return,spx_mom_24,trend,future_12m_return,-1,False,264,0.2629313437118876,1.814110095295328,-0.26224019244989566,0.26293134371188787,156,-0.3133916012075042,-1.5524690198136484,-1.044845349636898,-0.31339160120750403,177,0.4355923547030005,3.2513226968732245,-0.04985555095173699,0.43559235470300034
cpi_yoy_level:future_6m_return,cpi_yoy_level,macro,future_6m_return,-1,False,264,0.10248782111923414,0.8150832694069691,-0.35312164660212153,0.1024878211192342,156,0.06451459951211848,0.32999140090940754,-0.643884240887766,0.0645145995121185,183,0.4320588534772424,2.4095071242183255,-0.21767747955447125,0.43205885347724265
spx_vol_12:future_12m_return,spx_vol_12,volatility,future_12m_return,1,False,264,0.24678632222214975,2.501706812569708,-0.11065695524005803,0.24678632222214977,156,-0.18093913483270369,-0.9247544928437993,-0.8899102120744955,-0.18093913483270357,177,0.4174745935839062,3.108548969904578,-0.06915083159015661,0.4174745935839061
cpi_yoy_level:future_12m_return,cpi_yoy_level,macro,future_12m_return,-1,False,264,0.05590137154442022,0.36757314739139124,-0.49516149290600964,0.05590137154442026,156,0.11335691972385809,0.5977785461645811,-0.5737592529276238,0.11335691972385811,177,0.40954320389189947,2.1814968954274905,-0.27070528097805635,0.4095432038918995
cape_z_60:future_6m_realized_vol,cape_z_60,valuation,future_6m_realized_vol,-1,False,264,0.38864572074521986,2.4868547530780063,-0.17762737516990446,0.3886457207452202,156,-0.007687566183559538,-0.038942822129527675,-0.7229804519516835,-0.007687566183559606,183,0.40756072153078576,3.7483870096137326,0.013584185680363736,0.40756072153078593
cape_z_12:future_6m_realized_vol,cape_z_12,valuation,future_6m_realized_vol,-1,False,264,0.36812970281710133,2.673828851859656,-0.13074296892514076,0.3681297028171014,156,0.2561679126297987,1.3198942050177571,-0.4470793757748834,0.2561679126297989,183,0.40438463888214415,2.8111815613468583,-0.11684393191460174,0.4043846388821445
