date,t10y3m,hy_oas,cape,a1,a2,b1,b2,c,score
2023-12-01,-1.21,3.87,31.45,1,0,0,0,0,1
2023-12-04,-1.18,3.8,31.45,1,0,0,0,0,1
2023-12-05,-1.27,3.8,31.45,1,0,0,0,0,1
2023-12-06,-1.33,3.79,31.45,1,0,0,0,0,1
2023-12-07,-1.3,3.77,31.45,1,0,0,0,0,1
2023-12-08,-1.21,3.75,31.45,1,0,0,0,0,1
2023-12-11,-1.24,3.79,31.45,1,0,0,0,0,1
2023-12-12,-1.26,3.76,31.45,1,0,0,0,0,1
2023-12-13,-1.4,3.79,31.45,1,0,0,0,0,1
2023-12-14,-1.51,3.47,31.45,1,0,0,0,0,1
2023-12-15,-1.53,3.51,31.45,1,0,0,0,0,1
2023-12-18,-1.51,3.51,31.45,1,0,0,0,0,1
2023-12-19,-1.5,3.46,31.45,1,0,0,0,0,1
2023-12-20,-1.58,3.43,31.45,1,0,0,0,0,1
2023-12-21,-1.53,3.41,31.45,1,0,0,0,0,1
2023-12-22,-1.54,3.39,31.45,1,0,0,0,0,1
2023-12-26,-1.56,3.37,31.45,1,0,0,0,0,1
2023-12-27,-1.65,3.34,31.45,1,0,0,0,0,1
2023-12-28,-1.61,3.32,31.45,1,0,0,0,0,1
2023-12-29,-1.52,3.34,31.45,1,0,0,0,0,1
2024-01-02,-1.51,3.54,31.97,1,0,0,0,0,1
2024-01-03,-1.57,3.71,31.97,1,0,0,0,0,1
2024-01-04,-1.49,3.69,31.97,1,0,0,0,0,1
2024-01-05,-1.42,3.68,31.97,1,0,0,0,0,1
2024-01-08,-1.48,3.63,31.97,1,0,0,0,0,1
2024-01-09,-1.45,3.59,31.97,1,0,0,0,0,1
2024-01-10,-1.42,3.5,31.97,1,0,0,0,0,1
2024-01-11,-1.48,3.55,31.97,1,0,0,0,0,1
2024-01-12,-1.49,3.56,31.97,1,0,0,0,0,1
2024-01-16,-1.38,3.58,31.97,1,0,0,0,0,1
2024-01-17,-1.37,3.62,31.97,1,0,0,0,0,1
2024-01-18,-1.31,3.58,31.97,1,0,0,0,0,1
2024-01-19,-1.3,3.54,31.97,1,0,0,0,0,1
2024-01-22,-1.35,3.49,31.97,1,0,0,0,0,1
2024-01-23,-1.31,3.51,31.97,1,0,0,0,0,1
2024-01-24,-1.26,3.44,31.97,1,0,0,0,0,1
2024-01-25,-1.3,3.45,31.97,1,0,0,0,0,1
2024-01-26,-1.29,3.39,31.97,1,0,0,0,0,1
2024-01-29,-1.34,3.41,31.97,1,0,0,0,0,1
2024-01-30,-1.36,3.42,31.97,1,0,0,0,0,1
2024-01-31,-1.43,3.59,31.97,1,0,0,0,0,1
2024-02-01,-1.55,3.56,33.04,1,0,0,0,0,1
2024-02-02,-1.4,3.47,33.04,1,0,0,0,0,1
2024-02-05,-1.25,3.5,33.04,1,0,0,0,0,1
2024-02-06,-1.35,3.52,33.04,1,0,0,0,0,1
2024-02-07,-1.34,3.43,33.04,1,0,0,0,0,1
2024-02-08,-1.29,3.38,33.04,1,0,0,0,0,1
2024-02-09,-1.27,3.33,33.04,1,0,0,0,0,1
2024-02-12,-1.26,3.35,33.04,1,0,0,0,0,1
2024-02-13,-1.14,3.36,33.04,1,0,0,0,0,1
2024-02-14,-1.16,3.38,33.04,1,0,0,0,0,1
2024-02-15,-1.19,3.35,33.04,1,0,0,0,0,1
2024-02-16,-1.14,3.34,33.04,1,0,0,0,0,1
2024-02-20,-1.17,3.37,33.04,1,0,0,0,0,1
2024-02-21,-1.12,3.34,33.04,1,0,0,0,0,1
2024-02-22,-1.12,3.22,33.04,1,0,0,0,0,1
2024-02-23,-1.2,3.23,33.04,1,0,0,0,0,1
2024-02-26,-1.19,3.23,33.04,1,0,0,0,0,1
2024-02-27,-1.14,3.26,33.04,1,0,0,0,0,1
2024-02-28,-1.18,3.31,33.04,1,0,0,0,0,1
2024-02-29,-1.2,3.29,33.04,1,0,0,0,0,1
2024-03-01,-1.23,3.32,33.76,1,0,0,0,0,1
2024-03-04,-1.26,3.26,33.76,1,0,0,0,0,1
2024-03-05,-1.34,3.31,33.76,1,0,0,0,0,1
2024-03-06,-1.36,3.27,33.76,1,0,0,0,0,1
2024-03-07,-1.38,3.27,33.76,1,0,0,0,0,1
2024-03-08,-1.37,3.26,33.76,1,0,0,0,0,1
2024-03-11,-1.38,3.26,33.76,1,0,0,0,0,1
2024-03-12,-1.32,3.2,33.76,1,0,0,0,0,1
2024-03-13,-1.29,3.15,33.76,1,0,0,0,0,1
2024-03-14,-1.19,3.15,33.76,1,0,0,0,0,1
2024-03-15,-1.17,3.16,33.76,1,0,0,0,0,1
2024-03-18,-1.14,3.13,33.76,1,0,0,0,0,1
2024-03-19,-1.18,3.1,33.76,1,0,0,0,0,1
2024-03-20,-1.2,3.14,33.76,1,0,0,0,0,1
2024-03-21,-1.21,3.05,33.76,1,0,0,0,0,1
2024-03-22,-1.24,3.08,33.76,1,0,0,0,0,1
2024-03-25,-1.21,3.11,33.76,1,0,0,0,0,1
2024-03-26,-1.22,3.15,33.76,1,0,0,0,0,1
2024-03-27,-1.25,3.15,33.76,1,0,0,0,0,1
2024-03-28,-1.26,3.12,33.76,1,0,0,0,0,1
2024-04-01,-1.11,3.12,33.03,1,0,0,0,0,1
2024-04-02,-1.06,3.23,33.03,1,0,0,0,0,1
2024-04-03,-1.06,3.23,33.03,1,0,0,0,0,1
2024-04-04,-1.1,3.24,33.03,1,0,0,0,0,1
2024-04-05,-1.04,3.18,33.03,1,0,0,0,0,1
2024-04-08,-1.01,3.15,33.03,1,0,0,0,0,1
2024-04-09,-1.07,3.14,33.03,1,0,0,0,0,1
2024-04-10,-0.9,3.1,33.03,1,0,0,0,0,1
2024-04-11,-0.89,3.16,33.03,1,0,0,0,0,1
2024-04-12,-0.95,3.25,33.03,1,0,0,0,0,1
2024-04-15,-0.82,3.28,33.03,1,0,0,0,0,1
